rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
1000,0.3,2.0,100.0,concat,0.9548611111111112,0.9398148148148148,0.6284722222222222,0.5046296296296297,0.6155890892732998
1000,0.3,2.0,10000.0,final,0.5486111111111112,0.39814814814814814,0.4895833333333333,0.3194444444444444,0.44143694114612647
1000,0.3,2.0,10000.0,mean,0.6111111111111112,0.4814814814814815,0.5868055555555556,0.44907407407407407,0.525192622430469
1000,0.3,2.0,10000.0,concat,0.6597222222222222,0.5462962962962963,0.5833333333333334,0.4444444444444444,0.5282363977485929
1000,0.6,0.7,1.0,final,0.9270833333333334,0.9027777777777778,0.3680555555555556,0.15740740740740744,0.36753851983693986
1000,0.6,0.7,1.0,mean,0.7569444444444444,0.6759259259259259,0.6041666666666666,0.4722222222222222,0.5768716782173378
1000,0.6,0.7,1.0,concat,0.9826388888888888,0.9768518518518519,0.5729166666666666,0.4305555555555556,0.5488052629784914
1000,0.6,0.7,100.0,final,0.6076388888888888,0.47685185185185186,0.4236111111111111,0.2314814814814815,0.4148965805063755
1000,0.6,0.7,100.0,mean,0.6631944444444444,0.5509259259259259,0.5833333333333334,0.4444444444444444,0.5346489333095653
1000,0.6,0.7,100.0,concat,0.78125,0.7083333333333333,0.6006944444444444,0.46759259259259256,0.5760136636872808
1000,0.6,0.7,10000.0,final,0.4375,0.25,0.4409722222222222,0.25462962962962965,0.3768501330387739
1000,0.6,0.7,10000.0,mean,0.59375,0.45833333333333337,0.5868055555555556,0.44907407407407407,0.5212873963608655
1000,0.6,0.7,10000.0,concat,0.5243055555555556,0.3657407407407407,0.5451388888888888,0.3935185185185185,0.48584034288902445
1000,0.6,0.9,1.0,final,0.9895833333333334,0.9861111111111112,0.4097222222222222,0.2129629629629629,0.4090009652509653
1000,0.6,0.9,1.0,mean,0.7777777777777778,0.7037037037037037,0.6354166666666666,0.5138888888888888,0.6106991701872042
1000,0.6,0.9,1.0,concat,1.0,1.0,0.5173611111111112,0.3564814814814815,0.4989634435844647
1000,0.6,0.9,100.0,final,0.6388888888888888,0.5185185185185186,0.3888888888888889,0.18518518518518523,0.3829219545618288
1000,0.6,0.9,100.0,mean,0.6701388888888888,0.5601851851851851,0.5833333333333334,0.4444444444444444,0.5346489333095653
1000,0.6,0.9,100.0,concat,0.8055555555555556,0.7407407407407407,0.5729166666666666,0.4305555555555556,0.539073820811095
1000,0.6,0.9,10000.0,final,0.4444444444444444,0.2592592592592593,0.4444444444444444,0.2592592592592593,0.3775198083655795
1000,0.6,0.9,10000.0,mean,0.6006944444444444,0.46759259259259256,0.5902777777777778,0.4537037037037037,0.5250764787998831
1000,0.6,0.9,10000.0,concat,0.5347222222222222,0.37962962962962965,0.5520833333333334,0.4027777777777778,0.49140961881433753
1000,0.6,1.2,1.0,final,1.0,1.0,0.3888888888888889,0.18518518518518523,0.38671480693219823
1000,0.6,1.2,1.0,mean,0.8159722222222222,0.7546296296296297,0.6423611111111112,0.5231481481481481,0.6255952380952381
1000,0.6,1.2,1.0,concat,1.0,1.0,0.5520833333333334,0.4027777777777778,0.5350310559006212
1000,0.6,1.2,100.0,final,0.7534722222222222,0.6712962962962963,0.4236111111111111,0.2314814814814815,0.4210852189575594
1000,0.6,1.2,100.0,mean,0.6840277777777778,0.5787037037037037,0.59375,0.45833333333333337,0.5543140319845014
1000,0.6,1.2,100.0,concat,0.8645833333333334,0.8194444444444444,0.5868055555555556,0.44907407407407407,0.5675549450549451
1000,0.6,1.2,10000.0,final,0.4479166666666667,0.26388888888888884,0.4513888888888889,0.2685185185185185,0.3925951532735452
